PMID,Title,Authors,Journal,Publication_Date,Volume,Issue,Pages,DOI,Abstract
41319160,Correspondence: The Optimal Cut-Point of Tissue Eosinophil Count for Clinical Severity of Patients With Chronic Rhinosinusitis.,"Turner, Justin H",International forum of allergy & rhinology,2025-Nov-30,,,,10.1002/alr.70080,
41318223,Prevalence of Hearing Loss in Adult Patients With Sickle Cell Disease: A Retrospective Cohort Study.,"de Santana Hager, Murilo; Brown, Taylor D; Sopchak, Andrew E; Varavenkataraman, Gaayathri; Carr, Michele M",The Laryngoscope,2025-Nov-29,,,,10.1002/lary.70290,"INTRODUCTION: Sickle cell disease is an inherited hematological disorder characterized by sickle-shaped red blood cells that cause vaso-occlusion and hemolysis. While systemic complications are well described, otolaryngologic manifestations such as hearing loss remain underrecognized despite their impact on quality of life. METHODS: A retrospective study used the TriNetX database to analyze adults (> 18 years) with or without sickle cell disease who had outpatient visits between May 1, 2022, and..."
41317131,Eosinophil Peroxidase as a Dynamic Indicator of Treatment Response in Eosinophilic Chronic Rhinosinusitis.,"Callander, Jacquelyn K; Charbit, Annabelle R; Marshall, Camryn; Khanna, Kritika; Pletcher, Steven D et al.",International forum of allergy & rhinology,2025-Nov-29,,,,10.1002/alr.70076,"BACKGROUND: Eosinophil peroxidase (EPX) in nasal mucus correlates with markers of type 2 inflammation and tissue eosinophilia in chronic rhinosinusitis (CRS). This study evaluated EPX as a dynamic biomarker across treatment modalities and its potential prognostic value in eosinophilic CRS. METHODS: Patients with bilateral CRS undergoing treatment with endoscopic sinus surgery (ESS) or dupilumab injections, as well as non-CRS controls undergoing endoscopic endonasal pituitary surgery were prospec..."
41316736,Diagnostic and Prognostic Value of Systemic Inflammatory Markers and Serum Vitamin D in CRS.,"Ma, Junming; Chen, Xiaohong; Jiang, Yanjie; Wang, Jianqi; Huang, Weiqiang et al.",The Laryngoscope,2025-Nov-28,,,,10.1002/lary.70286,"OBJECTIVE: To evaluate the prognostic role of systemic inflammatory markers and vitamin D in chronic rhinosinusitis (CRS) and to establish predictive models for eosinophilic CRS (ECRS) based on the clinical characteristics. METHODS: Retrospective analysis of data from 1072 CRS patients and 229 controls identified CRS and ECRS risk factors using systemic inflammatory markers and serum 25-hydroxyvitamin D (25(OH)D), with all analyses performed on propensity score-matched (PSM) cohorts. Logistic re..."
41316714,The Association Between Sinus Surgery and the Development of Asthma and Non-Cystic Fibrosis Bronchiectasis in Patients With Chronic Rhinosinusitis.,"Wautlet, Arnaud J; Vu, Thanh-Huyen T; Chung, Ethan; Ali, Yasmeen; Altomare, Nicole et al.",International forum of allergy & rhinology,2025-Nov-28,,,,10.1002/alr.70074,"BACKGROUND: Precedent chronic rhinosinusitis (CRS) is associated with new-onset asthma and non-cystic fibrosis bronchiectasis (BE). OBJECTIVE: To assess if endoscopic sinus surgery (ESS) mitigates the development of lower airway diseases in patients with CRS. METHODS: This retrospective study utilized electronic medical records from an academic center. CRS patients (> 18 years old) without asthma or BE, were identified between January 2006 and December 2013. Charts were reviewed until May 2023. ..."
41316713,Anatomic Diagram as a Novel Assessment Strategy for Subclinical Local Residual Disease in Sinonasal Squamous Cell Carcinoma and Intestinal-type Adenocarcinoma.,"Gaudioso, Piergiorgio; Calvanese, Leonardo; Taboni, Stefano; Contro, Giacomo; Cazzador, Diego et al.",International forum of allergy & rhinology,2025-Nov-28,,,,10.1002/alr.70071,"OBJECTIVE: In the last two decades, transnasal endoscopic surgery (TES) has become pivotal in the management of sinonasal tumors. This approach involves a multiblock tumor resection, adding complexity to the interpretation of surgical margins after pathological examination. This study compares different strategies to infer subclinical local residual disease (SLRD), aiming to identify and validate the best available method for assessing SLRD after transnasal endoscopic resection of sinonasal squa..."
41316682,Optimizing Autologous Fat Injection for Vocal Fold Medialization: Can We Improve Predictability.,"Clark, Alexander; Kost, Karen",The Laryngoscope,2025-Nov-28,,,,10.1002/lary.70253,
41313596,"Olfactory dysfunction in CHARGE syndrome: a systematic review of prevalence, assessment methods, and clinical correlates.","Spencer, G M; Karim, K; Coyle, P; Bhargava, E K; Whitcroft, K L",Rhinology,2025-Nov-28,,,,10.4193/Rhin25.391,"BACKGROUND: Olfactory dysfunction (OD) is an underrecognized feature of CHARGE syndrome (CS), often associated with CHD7 mutations and structural anomalies of the olfactory system. This systematic review examines the burden, assessment methods, and clinical correlates of OD in CS. METHODOLOGY: A systematic review was conducted in accordance with PRISMA guidelines and registered with PROSPERO (CRD420251040500). A comprehensive search of six databases up to May 2025 was performed. Two independent ..."
41311275,In Response to Early Surgery Reduces Psychiatric and Learning Disorder Risk in Pediatric Sleep-Disordered Breathing.,"Campbell, Daniel J; Estephan, Leonard E; Palmer, W Jack",The Laryngoscope,2025-Nov-28,,,,10.1002/lary.70281,
41311266,In Reference to Early Surgery Reduces Psychiatric and Learning Disorder Risk in Pediatric Sleep-Disordered Breathing.,"Tu, Wanqing; Xie, Xiaohong",The Laryngoscope,2025-Nov-28,,,,10.1002/lary.70275,
